"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/17/2000","230112005","1","0.054","ppm","46","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/18/2000","230112005","1","0.06","ppm","51","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/19/2000","230112005","1","0.035","ppm","30","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/20/2000","230112005","1","0.04","ppm","34","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/21/2000","230112005","1","0.044","ppm","37","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/22/2000","230112005","1","0.043","ppm","36","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/23/2000","230112005","1","0.038","ppm","32","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/24/2000","230112005","1","0.04","ppm","34","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/25/2000","230112005","1","0.034","ppm","29","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/26/2000","230112005","1","0.027","ppm","23","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/27/2000","230112005","1","0.031","ppm","26","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/28/2000","230112005","1","0.027","ppm","23","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/29/2000","230112005","1","0.029","ppm","25","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/30/2000","230112005","1","0.034","ppm","29","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"05/31/2000","230112005","1","0.038","ppm","32","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/01/2000","230112005","1","0.053","ppm","45","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/02/2000","230112005","1","0.053","ppm","45","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/03/2000","230112005","1","0.037","ppm","31","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/04/2000","230112005","1","0.036","ppm","31","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/05/2000","230112005","1","0.034","ppm","29","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/06/2000","230112005","1","0.037","ppm","31","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/07/2000","230112005","1","0.035","ppm","30","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/08/2000","230112005","1","0.051","ppm","43","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/09/2000","230112005","1","0.041","ppm","35","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/10/2000","230112005","1","0.035","ppm","30","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/11/2000","230112005","1","0.027","ppm","23","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/12/2000","230112005","1","0.016","ppm","14","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/13/2000","230112005","1","0.033","ppm","28","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/14/2000","230112005","1","0.034","ppm","29","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/15/2000","230112005","1","0.027","ppm","23","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/16/2000","230112005","1","0.075","ppm","100","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/17/2000","230112005","1","0.053","ppm","45","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/18/2000","230112005","1","0.035","ppm","30","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/19/2000","230112005","1","0.038","ppm","32","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/20/2000","230112005","1","0.039","ppm","33","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/21/2000","230112005","1","0.068","ppm","77","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/22/2000","230112005","1","0.057","ppm","48","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/23/2000","230112005","1","0.033","ppm","28","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/24/2000","230112005","1","0.047","ppm","40","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/25/2000","230112005","1","0.062","ppm","58","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/26/2000","230112005","1","0.046","ppm","39","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/27/2000","230112005","1","0.045","ppm","38","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/28/2000","230112005","1","0.047","ppm","40","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/29/2000","230112005","1","0.055","ppm","47","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"06/30/2000","230112005","1","0.033","ppm","28","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/01/2000","230112005","1","0.042","ppm","36","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/02/2000","230112005","1","0.069","ppm","80","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/03/2000","230112005","1","0.049","ppm","42","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/04/2000","230112005","1","0.053","ppm","45","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/05/2000","230112005","1","0.027","ppm","23","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/06/2000","230112005","1","0.024","ppm","20","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/07/2000","230112005","1","0.026","ppm","22","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/08/2000","230112005","1","0.024","ppm","20","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/09/2000","230112005","1","0.041","ppm","35","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/10/2000","230112005","1","0.041","ppm","35","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/11/2000","230112005","1","0.032","ppm","27","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/12/2000","230112005","1","0.033","ppm","28","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/13/2000","230112005","1","0.048","ppm","41","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/14/2000","230112005","1","0.063","ppm","61","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/15/2000","230112005","1","0.038","ppm","32","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/16/2000","230112005","1","0.027","ppm","23","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/17/2000","230112005","1","0.034","ppm","29","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/18/2000","230112005","1","0.042","ppm","36","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/19/2000","230112005","1","0.023","ppm","19","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/20/2000","230112005","1","0.031","ppm","26","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/21/2000","230112005","1","0.05","ppm","42","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/22/2000","230112005","1","0.035","ppm","30","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/23/2000","230112005","1","0.029","ppm","25","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/24/2000","230112005","1","0.037","ppm","31","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/25/2000","230112005","1","0.036","ppm","31","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/26/2000","230112005","1","0.035","ppm","30","22","92.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/27/2000","230112005","1","0.023","ppm","19","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/28/2000","230112005","1","0.026","ppm","22","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/29/2000","230112005","1","0.03","ppm","25","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/30/2000","230112005","1","0.024","ppm","20","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"07/31/2000","230112005","1","0.028","ppm","24","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/01/2000","230112005","1","0.024","ppm","20","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/02/2000","230112005","1","0.026","ppm","22","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/03/2000","230112005","1","0.057","ppm","48","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/04/2000","230112005","1","0.029","ppm","25","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/05/2000","230112005","1","0.03","ppm","25","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/06/2000","230112005","1","0.044","ppm","37","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/07/2000","230112005","1","0.041","ppm","35","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/08/2000","230112005","1","0.039","ppm","33","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/09/2000","230112005","1","0.059","ppm","50","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/10/2000","230112005","1","0.033","ppm","28","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/11/2000","230112005","1","0.032","ppm","27","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/12/2000","230112005","1","0.025","ppm","21","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/13/2000","230112005","1","0.018","ppm","15","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/14/2000","230112005","1","0.019","ppm","16","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/15/2000","230112005","1","0.015","ppm","13","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/16/2000","230112005","1","0.033","ppm","28","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/17/2000","230112005","1","0.019","ppm","16","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
"08/18/2000","230112005","1","0.032","ppm","27","24","100.0000","44201","Ozone","12300","Augusta-Waterville, ME","23","Maine","011","Kennebec","44.2306220009429","-69.785"
